	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200756072405	ダ	右	1400	晴	良	13:20	サラブレッド系Cー2		2007-7-24	6	荒尾	1	(定量)		3.0	470.0	3.0	3.0	250	3.0	1.0	1,100	7.0	1-3	3640.0	11.0	3=>1	5520.0	18.0	3,7,(2,4),5,1,6	3,2,(1,7),4,(5,6)	3,2,(1,7),5,6,4	3,6,1,2,5,7-4									1-3	2,240	20.0	3-6	900	10.0	1-6	1,480	17.0	1-3-6	21750.0	32.0	3=>1=>6	103310.0	145.0
200756072501	ダ	右	1300	晴	良	11:00	アラブ系Bー2組		2007-7-25	6	荒尾	2	(定量)		1.0	1860.0	6.0	1.0	360	4.0	2.0	720	6.0	1-2	5470.0	12.0	1=>2	5970.0	18.0		1247653	1,2,4,7,6,5-3	1246753									1-2	970	14.0	1-4	380	4.0	2-4	670	11.0	1-2-4	3610.0	14.0	1=>2=>4	60780.0	102.0
200756072502	ダ	右	950	晴	良	11:30	サラブレッド系Cー2		2007-7-25	6	荒尾	2	(定量)		6.0	600.0	3.0	6.0	160	3.0	2.0	110	1.0	2-6	310.0	2.0	6=>2	880.0	5.0			6,2,5,1,7,4-3	6,2,5,1,4,7-3									2-6	240	2.0	5-6	700	14.0	2-5	440	5.0	2-5-6	1720.0	9.0	6=>2=>5	5260.0	19.0
200756072503	ダ	右	1300	晴	良	12:00	サラブレッド系Cー2		2007-7-25	6	荒尾	2	(定量)		6.0	450.0	2.0	6.0	720	6.0	3.0	200	2.0	3-6	1940.0	10.0	6=>3	2570.0	11.0		6123754.0	6127345.0	6327145.0									3-6	350	4.0	2-6	200	2.0	2-3	300	3.0	2-3-6	950.0	2.0	6=>3=>2	7140.0	23.0
200756072504	ダ	右	1300	晴	良	12:30	サラブレッド系Cー2		2007-7-25	6	荒尾	2	(定量)		1.0	140.0	1.0	1.0	120	1.0	5.0	130	2.0	1-5	150.0	1.0	1=>5	340.0	1.0		1562437.0	1526437.0	1526437.0									1-5	120	1.0	1-2	250	3.0	2-5	380	8.0	1-2-5	480.0	2.0	1=>5=>2	1240.0	3.0
200756073101	ダ	右	1300	晴	良	11:00	サラブレッド系Cー1		2007-7-31	6	荒尾	3	(定量)		1.0	160.0	1.0	1.0	110	2.0	2.0	100	1.0	1-2	400.0	2.0	1=>2	470.0	1.0		1,2,5,(3,4),7,6	1,2,5,(4,7),3,6	1,5,2,(4,7),3,6									1-2	200	2.0	1-5	180	1.0	2-5	380	6.0	1-2-5	440.0	1.0	1=>2=>5	1320.0	2.0
200756073102	ダ	右	1400	晴	良	11:35	サラブレッド系Cー1		2007-7-31	6	荒尾	3	(定量)		1.0	390.0	3.0	1.0	140	2.0	7.0	280	3.0	1-7	280.0	1.0	1=>7	570.0	3.0	134765	134756	134756	1,4,(3,7),6-5									1-7	110	1.0	1-4	130	3.0	4-7	120	2.0	1-4-7	170.0	1.0	1=>7=>4	1190.0	3.0
200756073103	ダ	右	1400	晴	良	12:10	サラブレッド系Cー8		2007-7-31	6	荒尾	3	(定量)		2.0	700.0	2.0	2.0	490	3.0	1.0	1,010	5.0	1-2	1520.0	6.0	2=>1	4250.0	17.0	123546	1,2,3,4,5-6	1,2,3,5,4=6	1,2,4,3,5=6									1-2	550	10.0	2-4	140	1.0	1-4	360	7.0	1-2-4	660.0	4.0	2=>1=>4	8770.0	35.0
200756073104	ダ	右	950	晴	良	12:45	ファイナルホース		2007-7-31	6	荒尾	3	(定量)		3.0	530.0	2.0	3.0	230	4.0	1.0	100	1.0	1-3	300.0	1.0	3=>1	710.0	2.0			4316752.0	3146752.0									1-3	160	1.0	3-4	300	4.0	1-4	330	6.0	1-3-4	720.0	4.0	3=>1=>4	3220.0	13.0
200756073105	ダ	右	1400	晴	良	13:20	サラブレッド系Cー6		2007-7-31	6	荒尾	3	(定量)		2.0	1180.0	4.0	2.0	430	4.0	3.0	110	1.0	2-3	870.0	3.0	2=>3	5430.0	12.0	4671325	4,6,1,7,(2,3),5	4612357	2413567									2-3	250	4.0	2-4	270	5.0	3-4	130	1.0	2-3-4	510.0	2.0	2=>3=>4	9110.0	25.0
200756073106	ダ	右	1400	晴	良	13:55	サラブレッド系Cー4		2007-7-31	6	荒尾	3	(定量)		1.0	900.0	2.0	1.0	370	2.0	3.0	680	5.0	1-3	6510.0	10.0	1=>3	6620.0	16.0	2164537	1264573	1264573	1,6,5,4,3-7,2									1-3	920	11.0	1-5	820	9.0	3-5	1,090	12.0	1-3-5	14890.0	22.0	1=>3=>5	60160.0	93.0
200756073107	ダ	右	1400	晴	良	14:35	サラブレッド系Cー2		2007-7-31	6	荒尾	3	(定量)		1.0	750.0	5.0	1.0	490	6.0	7.0	430	5.0	1-7	1610.0	11.0	1=>7	4490.0	25.0	4567123	4671253	4,6,7,(1,2),3,5	4,7,6,(1,2),3-5									1-7	750	14.0	1-4	510	10.0	4-7	350	4.0	1-4-7	1180.0	4.0	1=>7=>4	12050.0	68.0
200756073108	ダ	右	1500	晴	良	15:15	多良岳カップ 		2007-7-31	6	荒尾	3	(定量)		4.0	270.0	2.0	4.0	190	3.0	2.0	1,070	6.0	2-4	1980.0	5.0	4=>2	2450.0	8.0	4725613	4725613	4267531	4,2,6,3,5-1,7									2-4	560	6.0	4-6	170	2.0	2-6	740	10.0	2-4-6	2050.0	6.0	4=>2=>6	8080.0	23.0
200756073109	ダ	右	1400	晴	良	15:55	大隅特別 		2007-7-31	6	荒尾	3	(定量)		1.0	740.0	5.0	1.0	150	2.0	6.0	200	4.0	1-6	1790.0	10.0	1=>6	3560.0	18.0	162537849	1,6,2,(3,5),7,(4,8),9	162537498	1,6,5,2,3,(4,9),7-8			9.0	180.0	3.0	1-6	2380.0	10.0	1-6	600	10.0	1-9	250	1.0	6-9	380	5.0	1-6-9	1340.0	5.0	1=>6=>9	14190.0	62.0
200756081201	ダ	右	950	晴	良	11:00	サラブレッド系Cー2		2007-8-12	7	荒尾	2	(定量)		4.0	460.0	4.0	4.0	120	1.0	3.0	160	2.0	3-4	310.0	2.0	4=>3	1490.0	7.0			4372165.0	4372156.0									3-4	160	2.0	2-4	220	4.0	2-3	150	1.0	2-3-4	330.0	1.0	4=>3=>2	2610.0	10.0
200756081202	ダ	右	1300	晴	良	11:30	サラブレッド系Cー2		2007-8-12	7	荒尾	2	(定量)		1.0	250.0	1.0	1.0	190	2.0	3.0	170	1.0	1-3	560.0	2.0	1=>3	1060.0	2.0		351426	3,5,1,2,4-6	(1,3),5,2-4,6									1-3	370	8.0	1-5	370	8.0	3-5	300	4.0	1-3-5	760.0	4.0	1=>3=>5	3300.0	7.0
200756081203	ダ	右	1400	晴	良	12:00	アラブ系Bー1組		2007-8-12	7	荒尾	2	(定量)		5.0	570.0	2.0	5.0	170	2.0	2.0	100	1.0	2-5	240.0	1.0	5=>2	710.0	3.0	2516473	2516473	2,5,6,1,4,(3,7)	2564137									2-5	130	1.0	4-5	260	5.0	2-4	150	2.0	2-4-5	360.0	1.0	5=>2=>4	2290.0	5.0
200756081204	ダ	右	1400	晴	良	12:30	サラブレッド系Cー2		2007-8-12	7	荒尾	2	(定量)		4.0	290.0	1.0	4.0	210	3.0	2.0	610	6.0	2-4	1360.0	6.0	4=>2	1980.0	7.0	1465723	1,4,6,(2,5),7,3	1462573	4,2,6,1,(5,7),3									2-4	420	10.0	4-6	290	2.0	2-6	380	6.0	2-4-6	1550.0	5.0	4=>2=>6	10900.0	39.0
200756081205	ダ	右	1400	晴	良	13:00	サラブレッド系Cー2		2007-8-12	7	荒尾	2	(定量)		6.0	2510.0	6.0	6.0	440	6.0	4.0	140	1.0	4-6	1110.0	5.0	6=>4	5610.0	15.0	4671352	4,6,7,(1,3),5,2	4673521	4,6,3,7,(2,5),1									4-6	410	6.0	2-6	440	8.0	2-4	160	1.0	2-4-6	1160.0	5.0	6=>4=>2	26700.0	60.0
200756081206	ダ	右	1400	晴	良	13:35	サラブレッド系Cー1		2007-8-12	7	荒尾	2	(定量)		3.0	480.0	3.0	3.0	170	1.0	2.0	190	2.0	2-3	630.0	2.0	3=>2	1270.0	3.0	2617354	2617345	2761345	2317465									2-3	190	1.0	1-3	240	4.0	1-2	210	2.0	1-2-3	540.0	1.0	3=>2=>1	2700.0	3.0
200756082901	ダ	右	1300	曇	良	11:30	サラブレッド系Cー2		2007-8-29	7	荒尾	6	(定量)		4.0	250.0	1.0	4.0	130	1.0	5.0	170	3.0	4-5	440.0	2.0	4=>5	530.0	2.0		341562	345162	3,4,5,1,6-2									4-5	170	3.0	3-4	110	1.0	3-5	230	5.0	3-4-5	280.0	1.0	4=>5=>3	870.0	3.0
200756082902	ダ	右	1300	曇	良	12:00	サラブレッド系Cー2		2007-8-29	7	荒尾	6	(定量)		4.0	310.0	1.0	4.0	130	2.0	5.0	120	1.0	4-5	170.0	1.0	4=>5	340.0	2.0		451236	452316	4,5,2,3,1=6									4-5	120	1.0	2-4	250	5.0	2-5	230	4.0	2-4-5	310.0	1.0	4=>5=>2	1090.0	3.0
200756082903	ダ	右	1300	曇	良	12:35	サラブレッド系Cー2		2007-8-29	7	荒尾	6	(定量)		1.0	180.0	1.0	1.0	100	1.0	2.0	190	3.0	1-2	460.0	2.0	1=>2	490.0	2.0		1253467.0	1256347.0	1256374.0									1-2	150	2.0	1-5	110	1.0	2-5	230	3.0	1-2-5	290.0	1.0	1=>2=>5	1190.0	2.0
200756082904	ダ	右	950	曇	良	13:10	ストロングホース		2007-8-29	7	荒尾	6	(定量)		2.0	180.0	1.0	2.0	100	2.0	6.0	120	3.0	2-6	310.0	1.0	2=>6	460.0	1.0			36287514	2,6-8,7,1,4,5			7.0	100.0	1.0				2-6	150	1.0	2-7	170	2.0	6-7	210	3.0	2-6-7	250.0	1.0	2=>6=>7	800.0	2.0
200756082905	ダ	右	1400	晴	良	13:45	サラブレッド系Cー2		2007-8-29	7	荒尾	6	(定量)		3.0	150.0	1.0	3.0	180	2.0	4.0	440	3.0	3-4	600.0	2.0	3=>4	940.0	3.0	361254	362145	361245	361452									3-4	230	2.0	1-3	480	6.0	1-4	1,180	12.0	1-3-4	3670.0	9.0	3=>4=>1	10330.0	23.0
200756082906	ダ	右	1400	晴	良	14:20	サラブレッド系Cー2		2007-8-29	7	荒尾	6	(定量)		4.0	210.0	1.0	4.0	100	1.0	1.0	140	2.0	1-4	370.0	1.0	4=>1	600.0	1.0	341752	341752	347152	(1,4),7,5,2,3									1-4	160	1.0	4-7	230	3.0	1-7	250	4.0	1-4-7	390.0	1.0	4=>1=>7	1690.0	3.0
200756091801	ダ	右	950	晴	稍重	11:00	サラブレッド系Cー3		2007-9-18	8	荒尾	1	(定量)		4.0	390.0	3.0	4.0	280	3.0	5.0	190	2.0	4-5	330.0	2.0	4=>5	1570.0	6.0			4365172.0	4365127.0									4-5	200	2.0	3-4	610	6.0	3-5	470	5.0	3-4-5	740.0	2.0	4=>5=>3	7430.0	23.0
200756091802	ダ	右	1300	晴	稍重	11:30	サラブレッド系Cー2		2007-9-18	8	荒尾	1	(定量)		5.0	150.0	1.0	5.0	100	1.0	6.0	320	4.0	5-6	210.0	1.0	5=>6	300.0	1.0		56123	56132	5,6-1,3,2									5-6	100	1.0	1-5	130	2.0	1-6	190	3.0	1-5-6	210.0	1.0	5=>6=>1	580.0	2.0
200756091803	ダ	右	1300	晴	良	12:00	サラブレッド系Cー2		2007-9-18	8	荒尾	1	(定量)		4.0	210.0	1.0	4.0	180	2.0	2.0	600	4.0	2-4	620.0	2.0	4=>2	830.0	3.0		1,4,5,(2,3,7),6	1432576	4123657									2-4	380	3.0	4-6	760	8.0	2-6	1,190	14.0	2-4-6	3080.0	8.0	4=>2=>6	7100.0	22.0
200756091804	ダ	右	1400	晴	良	12:30	サラブレッド系Cー2		2007-9-18	8	荒尾	1	(定量)		3.0	280.0	1.0	3.0	210	2.0	1.0	370	5.0	1-3	710.0	4.0	3=>1	1210.0	6.0	3,(2,6,7),1,4,5	3,(2,6),7,1,4,5	3,2,6,1,(4,5),7	3124756									1-3	240	5.0	3-4	190	3.0	1-4	200	4.0	1-3-4	350.0	1.0	3=>1=>4	1820.0	4.0
200756091805	ダ	右	1400	晴	良	13:00	サラブレッド系Cー2		2007-9-18	8	荒尾	1	(定量)		1.0	170.0	1.0	1.0	260	3.0	6.0	400	5.0	1-6	1150.0	6.0	1=>6	1630.0	9.0	1476532	(1,4),7,6,5,3,2	(1,4),7,6,3,5,2	1,4,7,6,(2,3),5									1-6	310	5.0	1-3	360	7.0	3-6	540	11.0	1-3-6	1070.0	5.0	1=>6=>3	4340.0	16.0
200756091806	ダ	右	1400	晴	良	13:35	アラブ系Bー1組		2007-9-18	8	荒尾	1	(定量)		2.0	350.0	3.0	2.0	100	2.0	8.0	100	1.0	2-8	240.0	1.0	2=>8	640.0	2.0	26784153	2,6,(7,8),1,4,3,5	26873145	28641753			6.0	120.0	3.0				2-8	120	1.0	2-6	140	2.0	6-8	150	3.0	2-6-8	250.0	1.0	2=>8=>6	1260.0	3.0
200756091807	ダ	右	1400	晴	良	14:15	サラブレッド系Cー1		2007-9-18	8	荒尾	1	(定量)		1.0	280.0	2.0	1.0	120	1.0	5.0	170	3.0	1-5	240.0	1.0	1=>5	450.0	1.0	1,5,6,(2,7),3,4	1,5,6,(2,4),7,3	1546273	1,5,4-6,2,3,7									1-5	140	1.0	1-4	260	3.0	4-5	260	4.0	1-4-5	440.0	2.0	1=>5=>4	1560.0	3.0
200756091901	ダ	右	1300	晴	良	11:00	アラブ系Bー2組		2007-9-19	8	荒尾	2	(別定)		7.0	320.0	2.0	7.0	100	1.0	6.0	300	6.0	6-7	4160.0	11.0	7=>6	6380.0	17.0		34725861	34728561	7,3-2,8,6,5,4,1			3.0	120.0	2.0				6-7	580	8.0	3-7	140	1.0	3-6	950	13.0	3-6-7	1910.0	6.0	7=>6=>3	14220.0	46.0
200756091902	ダ	右	950	晴	良	11:35	サラブレッド系Cー2		2007-9-19	8	荒尾	2	(定量)		7.0	110.0	1.0	7.0	100	1.0	4.0	160	3.0	4-7	150.0	1.0	7=>4	190.0	1.0			(1,7),4-6,2,3,5	7,4,1-6,2-3,5									4-7	120	1.0	1-7	200	3.0	1-4	230	4.0	1-4-7	350.0	2.0	7=>4=>1	600.0	1.0
200756091903	ダ	右	1300	晴	良	12:10	サラブレッド系Cー2		2007-9-19	8	荒尾	2	(定量)		1.0	300.0	3.0	1.0	150	1.0	6.0	430	4.0	1-6	1510.0	6.0	1=>6	2310.0	9.0		2,3,1,(4,6),5,7	2316457	1,2,3,6,5-7,4									1-6	640	10.0	1-3	170	1.0	3-6	650	11.0	1-3-6	1310.0	6.0	1=>6=>3	8830.0	35.0
200756091904	ダ	右	1300	晴	良	12:45	サラブレッド系Cー2		2007-9-19	8	荒尾	2	(定量)		5.0	340.0	3.0	5.0	110	1.0	4.0	220	3.0	4-5	420.0	1.0	5=>4	1010.0	2.0		4567312.0	4561372.0	4516237.0									4-5	250	3.0	1-5	390	6.0	1-4	220	2.0	1-4-5	700.0	2.0	5=>4=>1	3230.0	7.0
200756091905	ダ	右	1400	晴	良	13:20	サラブレッド系Cー2		2007-9-19	8	荒尾	2	(定量)		6.0	740.0	3.0	6.0	500	5.0	1.0	110	1.0	1-6	700.0	3.0	6=>1	2760.0	11.0	1675342	1,6,7,5,(3,4),2	1673542	(1,6),3,7,4,5,2									1-6	190	2.0	3-6	1,230	14.0	1-3	430	6.0	1-3-6	2460.0	8.0	6=>1=>3	17370.0	50.0
200756091906	ダ	右	1400	晴	良	14:00	サラブレッド系Cー2		2007-9-19	8	荒尾	2	(定量)		4.0	490.0	2.0	4.0	100	1.0	8.0	170	4.0	4-8	1210.0	6.0	4=>8	1940.0	8.0	14278635	14327685	14237865	41386257			6.0	130.0	2.0				4-8	280	2.0	4-6	290	3.0	6-8	380	6.0	4-6-8	1580.0	8.0	4=>8=>6	5220.0	18.0
200756091907	ダ	右	1400	晴	良	14:40	コスモス特設サラブレ		2007-9-19	8	荒尾	2	(定量)		8.0	250.0	1.0	8.0	110	1.0	5.0	190	3.0	5-8	770.0	3.0	8=>5	980.0	3.0	84127563	8,4,1,2,7,5,6-3	8,4,1,2,7,5,6=3	84157263			4.0	320.0	6.0				5-8	320	5.0	4-8	700	9.0	4-5	1,280	15.0	4-5-8	1850.0	7.0	8=>5=>4	6730.0	24.0
200756100901	ダ	右	950	小雨	不良	11:00	サラブレッド系Cー3		2007-10-9	9	荒尾	1	(定量)		5.0	140.0	1.0	5.0	100	1.0	4.0	150	2.0	4-5	210.0	2.0	5=>4	320.0	4.0			54261	5,4,2,6-1									4-5	120	2.0	2-5	210	7.0	2-4	360	11.0	2-4-5	410.0	2.0	5=>4=>2	830.0	3.0
200756100902	ダ	右	1300	小雨	不良	11:30	アラブ系Bー2組		2007-10-9	9	荒尾	1	(別定)		4.0	260.0	1.0	4.0	230	3.0	1.0	120	1.0	1-4	480.0	2.0	4=>1	1080.0	4.0		1,(3,6),2,7,4,5	(1,6,2),3,4,7,5	(1,6),(2,4),5,7,3									1-4	190	2.0	4-5	260	4.0	1-5	150	1.0	1-4-5	540.0	1.0	4=>1=>5	2700.0	8.0
200756100903	ダ	右	1300	小雨	不良	12:00	サラブレッド系Cー2		2007-10-9	9	荒尾	1	(定量)		5.0	400.0	2.0	5.0	230	4.0	6.0	140	1.0	5-6	570.0	3.0	5=>6	1800.0	9.0		356142	356142	5,(3,6),1-4,2									5-6	330	5.0	2-5	3,010	14.0	2-6	4,480	15.0	2-5-6	11800.0	16.0	5=>6=>2	93200.0	77.0
200756100904	ダ	右	1400	小雨	不良	12:30	サラブレッド系Cー2		2007-10-9	9	荒尾	1	(定量)		2.0	640.0	2.0	2.0	170	2.0	1.0	100	1.0	1-2	190.0	1.0	2=>1	820.0	3.0	2713654	2,7,(1,3),6,4,5	2,(1,3,7),6,4,5	2,1,3,6-4,7,5									1-2	130	1.0	2-6	200	4.0	1-6	190	3.0	1-2-6	280.0	1.0	2=>1=>6	1550.0	5.0
200756100905	ダ	右	1400	小雨	不良	13:05	サラブレッド系Cー2		2007-10-9	9	荒尾	1	(定量)		4.0	430.0	3.0	4.0	340	5.0	5.0	100	1.0	4-5	920.0	4.0	4=>5	2460.0	11.0	2456731	(2,4),5,7,1,6,3	(2,4),5,7,6,1,3	4527163									4-5	350	4.0	4-7	1,070	14.0	5-7	740	12.0	4-5-7	3350.0	13.0	4=>5=>7	25300.0	76.0
200756100906	ダ	右	1400	小雨	不良	13:40	森尾仁&季美枝新車購		2007-10-9	9	荒尾	1	(定量)		7.0	590.0	3.0	7.0	320	7.0	5.0	110	2.0	5-7	2510.0	8.0	7=>5	8190.0	19.0	78514623	78154263	78514623	78512463			8.0	100.0	1.0				5-7	330	5.0	7-8	320	4.0	5-8	200	1.0	5-7-8	560.0	2.0	7=>5=>8	9380.0	29.0
200756101301	ダ	右	1300	晴	良	11:00	サラブレッド系2歳		2007-10-13	9	荒尾	3	(定量)		1.0	1340.0	3.0	1.0	280	3.0	3.0	310	4.0	1-3	5030.0	14.0	1=>3	11100.0	24.0		134652.0	134652.0	134652.0									1-3	1,180	13.0	1-4	830	10.0	3-4	2,750	15.0	1-3-4	2920.0	12.0	1=>3=>4	36130.0	86.0
200756101302	ダ	右	1300	晴	良	11:35	サラブレッド系Cー1		2007-10-13	9	荒尾	3	(定量)		2.0	370.0	2.0	2.0	130	1.0	4.0	220	4.0	2-4	1060.0	2.0	2=>4	1340.0	3.0		1,4,(2,5),6,3,7	1452637	4215367									2-4	280	3.0	2-3	570	7.0	3-4	570	7.0	2-3-4	1980.0	5.0	2=>4=>3	7180.0	22.0
200756102401	ダ	右	1300	晴	良	11:00	サラブレッド系Cー1		2007-10-24	10	荒尾	2	(定量)		3.0	520.0	3.0	3.0	220	2.0	7.0	540	6.0	3-7	1740.0	8.0	3=>7	2650.0	11.0		3,(2,7),5,4,6,1	3,7,2,4,(5,6),1	3275146									3-7	400	4.0	2-3	130	1.0	2-7	630	12.0	2-3-7	1300.0	3.0	3=>7=>2	7640.0	25.0
200756102402	ダ	右	1300	晴	良	11:30	サラブレッド系Cー1		2007-10-24	10	荒尾	2	(定量)		1.0	210.0	1.0	1.0	270	2.0	6.0	330	3.0	1-6	470.0	2.0	1=>6	550.0	2.0		1,3,(2,5),(4,7),6	1,3,(2,4),6,7,5	1-(2,6),(3,4)-5,7									1-6	260	2.0	1-2	120	1.0	2-6	320	5.0	1-2-6	450.0	1.0	1=>6=>2	1460.0	2.0
200756103001	ダ	右	950	曇	良	11:00	サラブレッド系Cー3		2007-10-30	10	荒尾	3	(定量)		4.0	170.0	1.0	4.0	110	2.0	3.0	100	1.0	3-4	110.0	3.0	4=>3	230.0	5.0			(3,4)=(2,5)	4,3=2,5									3-4	100	2.0	2-4	110	6.0	2-3	190	8.0	2-3-4	180.0	1.0	4=>3=>2	380.0	1.0
200756103101	ダ	右	1300	晴	良	11:00	サラブレッド系2歳		2007-10-31	10	荒尾	4	(定量)		6.0	130.0	1.0	6.0	120	1.0	8.0	200	5.0	6-8	690.0	4.0	6=>8	740.0	2.0		86271543	8,6,(1,7),2,(4,5),3	8,6-2,1,7-4,3,5			2.0	140.0	2.0				6-8	310	4.0	2-6	250	2.0	2-8	500	7.0	2-6-8	1070.0	6.0	6=>8=>2	3460.0	11.0
200756103102	ダ	右	950	晴	良	11:30	サラブレッド系Cー3		2007-10-31	10	荒尾	4	(定量)		1.0	790.0	5.0	1.0	700	7.0	2.0	140	1.0	1-2	660.0	3.0	1=>2	2010.0	10.0			2,1,(4,6),7,5,3	2154673									1-2	340	5.0	1-5	460	8.0	2-5	210	2.0	1-2-5	760.0	4.0	1=>2=>5	7480.0	26.0
200756103103	ダ	右	1300	晴	良	12:00	サラブレッド系Cー2		2007-10-31	10	荒尾	4	(定量)		3.0	240.0	2.0	3.0	120	2.0	2.0	100	1.0	2-3	190.0	1.0	3=>2	270.0	1.0		3,4,2,(5,6),7,1	3452671	3,5,2,4,7-6=1									2-3	130	1.0	3-5	170	2.0	2-5	300	5.0	2-3-5	340.0	2.0	3=>2=>5	880.0	2.0
200756103104	ダ	右	1400	晴	良	12:35	サラブレッド系Cー2		2007-10-31	10	荒尾	4	(定量)		6.0	130.0	1.0	6.0	100	1.0	5.0	410	5.0	5-6	490.0	3.0	6=>5	630.0	3.0	6172354	6127534	6,(1,5),2,3,7,4	6,5,(1,3),2,4,7									5-6	310	4.0	3-6	190	2.0	3-5	530	8.0	3-5-6	1670.0	6.0	6=>5=>3	2890.0	11.0
200756103105	ダ	右	1300	晴	良	13:10	ファイナルホース		2007-10-31	10	荒尾	4	(定量)		7.0	170.0	1.0	7.0	100	1.0	3.0	120	2.0	3-7	150.0	1.0	7=>3	200.0	1.0		3561742	3517624	7,3-2,4,5-1,6									3-7	100	1.0	2-7	200	3.0	2-3	330	6.0	2-3-7	500.0	2.0	7=>3=>2	890.0	2.0
200756103106	ダ	右	1400	晴	良	13:45	サラブレッド系Cー2		2007-10-31	10	荒尾	4	(定量)		3.0	150.0	1.0	3.0	100	1.0	8.0	140	3.0	3-8	410.0	2.0	3=>8	430.0	1.0	37814625	3,7,(1,8),4,2,5,6	37184256	3,1,(7,8),4,2,5=6			1.0	120.0	2.0				3-8	260	3.0	1-3	210	2.0	1-8	540	7.0	1-3-8	730.0	3.0	3=>8=>1	1630.0	3.0
200756110601	ダ	右	1300	曇	不良	11:00	サラブレッド系Cー1		2007-11-6	10	荒尾	5	(定量)		4.0	850.0	5.0	4.0	270	3.0	6.0	600	5.0	4-6	2620.0	12.0	4=>6	8170.0	22.0		2,4,5,6,3-1	2,4,5,(3,6)-1	4,2,5,6,3-1									4-6	590	11.0	4-5	290	5.0	5-6	230	2.0	4-5-6	1600.0	7.0	4=>6=>5	13130.0	52.0
200756110602	ダ	右	1300	曇	不良	11:30	サラブレッド系Cー1		2007-11-6	10	荒尾	5	(定量)		3.0	280.0	1.0	3.0	190	3.0	4.0	130	1.0	3-4	220.0	1.0	3=>4	350.0	1.0		231654	321654	3,4,2,(1,6),5									3-4	130	1.0	2-3	410	7.0	2-4	410	7.0	2-3-4	470.0	3.0	3=>4=>2	1710.0	4.0
200756111401	ダ	右	950	晴	良	11:00	サラブレッド系Cー3		2007-11-14	11	荒尾	2	(定量)		4.0	300.0	2.0	4.0	110	1.0	2.0	150	3.0	2-4	130.0	1.0	4=>2	270.0	1.0			246153	4,2-6,1,5-3									2-4	100	1.0	4-6	250	4.0	2-6	320	7.0	2-4-6	290.0	1.0	4=>2=>6	700.0	1.0
200756111402	ダ	右	1300	晴	良	11:30	サラブレッド系Cー3		2007-11-14	11	荒尾	2	(定量)		2.0	730.0	2.0	2.0	170	3.0	6.0	100	1.0	2-6	180.0	1.0	2=>6	690.0	4.0		236541	2,3,6=5,4,1	2,6,3=5-4-1									2-6	110	1.0	2-3	310	7.0	3-6	240	3.0	2-3-6	220.0	1.0	2=>6=>3	1570.0	7.0
200756111403	ダ	右	1400	晴	良	12:00	サラブレッド系Cー2		2007-11-14	11	荒尾	2	(定量)		2.0	250.0	2.0	2.0	100	1.0	3.0	100	2.0	2-3	140.0	1.0	2=>3	460.0	2.0	234615	2,3,4,6-1,5	2,3,4,6=1,5	2,3-4,6=1									2-3	100	1.0	2-4	470	7.0	3-4	310	6.0	2-3-4	970.0	2.0	2=>3=>4	1080.0	4.0
200756111404	ダ	右	1400	晴	良	12:30	サラブレッド系Cー2		2007-11-14	11	荒尾	2	(定量)		5.0	200.0	1.0	5.0	120	1.0	2.0	740	7.0	2-5	1760.0	7.0	5=>2	3400.0	11.0	2,3,7,5,(4,6),1	2375641	2376541	2735641									2-5	790	10.0	5-7	210	1.0	2-7	1,010	13.0	2-5-7	1540.0	8.0	5=>2=>7	5740.0	21.0
200756111405	ダ	右	1400	晴	良	13:05	サラブレッド系Cー2		2007-11-14	11	荒尾	2	(定量)		7.0	170.0	1.0	7.0	110	1.0	4.0	280	4.0	4-7	2390.0	8.0	7=>4	1580.0	6.0	2471356	2471356	2471356	7145236									4-7	260	3.0	1-7	250	2.0	1-4	700	11.0	1-4-7	1760.0	7.0	7=>4=>1	5960.0	20.0
200756111406	ダ	右	1400	晴	良	13:40	サラブレッド系Cー2		2007-11-14	11	荒尾	2	(定量)		5.0	330.0	3.0	5.0	290	3.0	2.0	160	2.0	2-5	320.0	2.0	5=>2	760.0	4.0	3526741	3562714	3,5,2,6-7,1,4	3256741									2-5	170	4.0	3-5	120	1.0	2-3	140	2.0	2-3-5	180.0	1.0	5=>2=>3	870.0	3.0
200756112701	ダ	右	950	曇	良	11:00	サラブレッド系Cー3		2007-11-27	11	荒尾	5	(定量)		4.0	1290.0	4.0	4.0	110	1.0	3.0	110	2.0	3-4	360.0	2.0	4=>3	1790.0	5.0			4236157.0	4236175.0									3-4	360	3.0	2-4	980	10.0	2-3	230	2.0	2-3-4	570.0	3.0	4=>3=>2	5740.0	21.0
