	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201054080208	ダ	右	1400	晴	良	19:00	C1　ー2		2010-8-2	8	高知	2	(見込)		3	100	1	3	100	1	5	110	2	8.0	140.0	4.0	3-5	250	1	3-5	210	3	3-8	180	2	5-8	600	8	3=>5	280	1	3-5-8	350	1	3=>5=>8	730	1.0	3,(6,7),(5,8),2,4,1,9	3,6,(5,7),8,2,4,1,9	367589214	3,5,6,(9,7),8,2,1,4		
201054082201	ダ	右	1300	晴	良	15:25	C3　ー4		2010-8-22	8	高知	4	(見込)		8	100	1	8	100	3	3	100	1	7.0	100.0	2.0	3-8	120	1	3-8	100	1	7-8	170	2	3-7	190	3	8=>3	150	1	3-7-8	230	1	8=>3=>7	220	1.0	8,7,10,(3,6),9,1,5,4,2,11	8731061954211	8,(3,7),(1,10,6),9,5,4,11,2	8,3,7,10,1,6,9,(5,4),11,2		
201054082202	ダ	右	1300	晴	良	16:00	C3　ー3		2010-8-22	8	高知	4	(見込)		6	240	2	6	100	1	1	120	3	8.0	110.0	2.0	1-6	170	1	1-6	110	1	6-8	170	2	1-8	210	4	6=>1	370	1	1-6-8	280	1	6=>1=>8	620	1.0	6,11,2,10,8,7,3,5,9,(1,4)	6211103875194	6,2,10,3,11,8,(1,5),4,9,7	6,1,(3,10,8),2,5,9,11,4,7		
201054082203	ダ	右	1400	晴	良	16:35	C3　ー2		2010-8-22	8	高知	4	(見込)		3	140	1	3	100	1	7	100	2	11.0	150.0	3.0	3-7	340	1	3-7	150	1	3-11	280	4	7-11	900	13	3=>7	370	1	3-7-11	650	3	3=>7=>11	1230	4.0	3,11,12,(1,7),(2,10),6,5,9,8,4	3,1,11,7,12,10,2,(6,5),8,9,4	3,11,(1,12),7,10,2,5,9,8,6,4	311712102518946		
201054082204	ダ	右	1400	晴	良	17:10	しなね祭特別 		2010-8-22	8	高知	4	(見込)		3	100	1	3	100	1	5	110	2	1.0	360.0	6.0	3-5	140	1	3-5	120	1	1-3	620	6	1-5	1,090	10	3=>5	250	1	1-3-5	800	3	3=>5=>1	1920	5.0	3211151046897	3211516104789	3,2,11,5,(1,4),(6,10),9,8,7	(5,3),2,1,(4,11),(7,9),10,8,6		
201054082205	ダ	右	1300	晴	良	17:40	C1　ー4		2010-8-22	8	高知	4	(見込)		4	100	1	4	100	1	2	160	3	5.0	160.0	4.0	2-4	470	3	2-4	270	4	4-5	230	2	2-5	1,530	13	4=>2	340	2	2-4-5	1030	4	4=>2=>5	1650	7.0	4,5,(3,6),1,8,2,7	4,5,(3,6),8,2,1,7	4,5,(3,6),8,2,7,1	45632871		
201054082206	ダ	右	1300	晴	良	18:10	C1　ー3		2010-8-22	8	高知	4	(見込)		5	290	2	5	130	3	7	120	2	9.0	110.0	1.0	5-7	920	5	5-7	230	4	5-9	200	3	7-9	170	1	5=>7	1440	6	5-7-9	350	1	5=>7=>9	2860	9.0	274593168	274593168	2,7,(4,9,5),3,(1,6,8)	274953681		
201054082207	ダ	右	1300	晴	良	18:40	C1　ー2		2010-8-22	8	高知	4	(見込)		6	490	3	6	130	3	7	100	1	2.0	100.0	2.0	6-7	430	2	6-7	150	1	2-6	250	5	2-7	170	2	6=>7	1930	6	2-6-7	400	2	6=>7=>2	3840	11.0	6,7,1,8,(2,5),4,3	6,7,1,(8,5),2,(4,3)	6,7,1,5,(8,3),2,4	67128453		
201054082208	ダ	右	1300	晴	良	19:10	正也&映璃子来場特別 		2010-8-22	8	高知	4	(見込)		10	120	1	10	100	1	5	580	8	6.0	170.0	2.0	5-10	6090	8	5-10	3,860	23	6-10	210	2	5-6	13,320	34	10=>5	2920	7	5-6-10	6190	16	10=>5=>6	25760	43.0	10,8,3,(1,5),7,9,2,6,4	10183572964	10813579624	10581367924		
201054101601	ダ	右	1300	晴	良	15:40	C3ロ		2010-10-16	11	高知	5	(見込)		7	350	2	7	120	2	6	100	1				6-7	150	1	6-7	120	1	1-7	160	3	1-6	160	2	7=>6	780	3	1-6-7	210	1	7=>6=>1	1820	5.0	7,6,5,3,2,(1,4)	7653124	7653124	7615243		
201054101602	ダ	右	1600	晴	良	16:10	佐賀もどりガツオ特別		2010-10-16	11	高知	5	(見込)		7	260	1	7	120	2	9	110	1	5.0	140.0	3.0	7-9	560	2	7-9	210	1	5-7	230	2	5-9	300	4	7=>9	790	2	5-7-9	370	1	7=>9=>5	1550	2.0	1375826910114	1,(3,7),5,8,2,6,10,9,4,11	1,7,5,3,8,(2,6,10),9,4,11	7,9,5,1,8,10,3,(6,4),2,11		
201054102301	ダ	右	1300	曇	良	15:30	ビバックス特別		2010-10-23	12	高知	1	(見込)		5	250	2	5	130	2	4	110	1				4-5	120	1	4-5	150	2	2-5	510	5	2-4	410	4	5=>4	330	2	2-4-5	340	2	5=>4=>2	1360	5.0	5,(3,4),2,6,1,7	5,4,3,2,6,1-7	5,4-3,2,6,1-7	5,4-2,3,6,1-7		
201054102302	ダ	右	1300	曇	良	16:00	C3　ー3		2010-10-23	12	高知	1	(見込)		3	230	1	3	110	1	1	560	5				1-3	1090	5	1-3	220	3	3-5	1,110	8	1-5	5,230	18	3=>1	2110	6	1-3-5	15590	16	3=>1=>5	50450	48.0	(3,4,7),1,6,(2,5)	3741256	(3,7),(4,1),(2,5),6	3,7,1,4,(2,5),6		
201054102303	ダ	右	1300	曇	良	16:30	C3　ー2		2010-10-23	12	高知	1	(見込)		7	140	1	7	120	2	5	120	4	3.0	120.0	3.0	5-7	970	4	5-7	190	3	3-7	130	1	3-5	200	5	7=>5	830	3	3-5-7	240	1	7=>5=>3	1670	6.0	3,8,6,7,5,(1,4),2	3,(6,8,7),5,1,(2,4)	(3,7),(6,8),(5,1),2,4	7,3,5,8,6,(2,1),4		
201054102304	ダ	右	1400	曇	良	17:00	梼原維新の門特別 		2010-10-23	12	高知	1	(見込)		2	370	2	2	180	3	3	120	2	1.0	1,010	7.0	2-3	1470	5	2-3	290	3	1-2	11,510	31	1-3	7,700	23	2=>3	1700	8	1-2-3	24710	29	2=>3=>1	143510	122.0	(3,7),9,(2,4),1,(6,8,10),5	(3,7),9,(2,4),1,(6,8),(5,10)	(3,7),(2,9),4,1,(6,8),10,5	2,3,(1,9),7,(6,4),10,5,8		
201054102305	ダ	右	1300	曇	良	17:30	近藤由實誕生日特別		2010-10-23	12	高知	1	(見込)		4	180	1	4	120	1	2	140	3	6.0	330	6.0	2-4	250	1	2-4	130	1	4-6	1,000	10	2-6	1,290	12	4=>2	440	1	2-4-6	2270	7	4=>2=>6	4330	14.0	23487651	2,3,4,(7,8),1,6,5	23478615	(2,4),7,3,(1,6),8,5		
201054102306	ダ	右	1300	曇	良	18:00	井上雅子誕生日特別		2010-10-23	12	高知	1	(見込)		9	130	1	9	100	1	2	620	9	3.0	130	2.0	2-9	1700	6	2-9	650	8	3-9	120	1	2-3	1,100	16	9=>2	2870	7	2-3-9	2840	8	9=>2=>3	11750	31.0	6,(1,7),9,(4,5),8,3,2	6,(1,7),9,(4,5),8,3,2	6,1,(7,9),(5,8,3),4,2	986315274		
201054102307	ダ	右	1300	曇	良	18:30	Bロ		2010-10-23	12	高知	1	(見込)		3	180	1	3	110	1	1	140	3	6.0	140	4.0	1-3	190	1	1-3	120	1	3-6	170	2	1-6	170	3	3=>1	410	1	1-3-6	150	1	3=>1=>6	690	1.0	315768942	317659842	3,1,(7,5),(6,9),8,4,2	316479852		
201054102308	ダ	右	1300	曇	良	19:00	Aイ　Bイ		2010-10-23	12	高知	1	(見込)		2	150	1	2	100	1	3	860	8	4.0	110	2.0	2-3	9340	11	2-3	1,060	15	2-4	110	1	3-4	2,890	21	2=>3	10490	17	2-3-4	2970	7	2=>3=>4	19540	44.0	5,8,1,(2,4),(3,6,7)	58124367	5,8,(1,4),(2,7),3,6	2,(3,5,4),1,7,8,6		
201054121101	ダ	右	1300	曇	稍重	15:40	2歳　ー2		2010-12-11	14	高知	3	(見込)		3	260	2	3	400	3	2	260	2				2-3	570	3	2-3	100	1	3-4	100	2	2-4	100	3	3=>2	1450	6	2-3-4	110	1	3=>2=>4	1950	6.0	643251	643215	643215	4,3,(2,6),1,5		
201054121102	ダ	右	1300	曇	稍重	16:10	2歳　ー1		2010-12-11	14	高知	3	(見込)		3	170	1	3	160	2	1	500	4				1-3	2070	6	1-3	440	7	3-5	920	10	1-5	1,130	12	3=>1	2650	9	1-3-5	5770	15	3=>1=>5	30910	58.0	1,6,(2,3,5),4	1,6,(2,3),5,4	1,6,(2,3),5,4	1,3,(2,5),6,4		
201054121103	ダ	右	1300	曇	稍重	16:40	C3ロ		2010-12-11	14	高知	3	(見込)		4	100	1	4	160	2	2	650	5				2-4	3000	3	2-4	190	2	4-5	430	5	2-5	700	7	4=>2	1150	3	2-4-5	2080	6	4=>2=>5	6630	10.0	2416953	2,4,1,6,(5,9),3	2,4,1,5,(6,9),3	4215369		
201054121104	ダ	右	1300	曇	稍重	17:15	40周年大感謝特別		2010-12-11	14	高知	3	(見込)		1	210	2	1	100	2	2	100	1	5.0	130	3.0	1-2	120	1	1-2	100	1	1-5	120	3	2-5	120	2	1=>2	270	2	1-2-5	150	1	1=>2=>5	430	2.0	1,9,2,(3,5),4,8,(6,7)	129354876	129354876	129534876		
201054121105	ダ	右	1300	曇	稍重	17:50	C3　ー9		2010-12-11	14	高知	3	(見込)		6	640	3	6	170	2	4	210	5	5.0	420	7.0	4-6	1130	5	4-6	370	4	5-6	2,170	26	4-5	1,160	12	6=>4	3160	9	4-5-6	10230	32	6=>4=>5	32890	100.0	46103719528	4,10,6,3,1,7,9,(2,5),8	4,(6,10,3),1,5,(2,9),7,8	(6,4),3,10,(2,5),1,9,7,8		
201054121801	ダ	右	1300	晴	重	15:00	C1　ー5		2010-12-18	14	高知	5	(見込)		5	240	1	5	120	1	1	440	5				1-5	430	3	1-5	340	8	3-5	160	1	1-3	310	6	5=>1	950	4	1-3-5	320	1	5=>1=>3	1500	4.0	365142	3,6,(1,5),4,2	635142	5,(1,3),6,4,2		
201054121802	ダ	右	1400	晴	重	15:40	須崎かわうその里特別 		2010-12-18	14	高知	5	(見込)		7	390	2	7	220	3	1	310	4				1-7	680	3	1-7	200	4	6-7	120	1	1-6	150	2	7=>1	1130	4	1-6-7	250	1	7=>1=>6	2320	7.0	7,3,6,1,(2,4)	7,3,6,1,(2,4)	7,3,6,1,(2,4)	716342		
201054121803	ダ	右	1300	晴	重	16:10	ようこそ南関さん特別		2010-12-18	14	高知	5	(見込)		6	140	1	6	110	2	2	100	1				2-6	160	1	2-6	120	1	6-7	360	6	2-7	660	11	6=>2	250	1	2-6-7	1680	5	6=>2=>7	3780	12.0	4671523	4,6,5,(1,7),(3,2)	6,(4,2),7,5,(1,3)	6,2,7,(4,3),5,1		
201054121804	ダ	右	1300	晴	重	16:40	C1　ー4		2010-12-18	14	高知	5	(見込)		5	120	1	5	110	1	4	140	2				4-5	140	1	4-5	140	2	5-6	110	1	4-6	490	7	5=>4	210	1	4-5-6	480	2	5=>4=>6	770	2.0	4167235	4167253	4,6,(1,5),2,7,3	4562173		
201054121805	ダ	右	1300	晴	重	17:15	C3ホ		2010-12-18	14	高知	5	(見込)		9	110	1	9	100	1	4	100	3	2.0	100	2.0	4-9	150	1	4-9	110	1	2-9	160	2	2-4	180	3	9=>4	190	1	2-4-9	240	1	9=>4=>2	460	2.0	5,9,2,4,(6,8),(3,7),1	5,9,(2,4),6,8,7,3,1	5,9,4,2,6,7,8,(3,1)	9,4,(2,5),7,6,8,1,3		
201054122401	ダ	右	1300	晴	不良	15:20	C3　ー11		2010-12-24	15	高知	1	(見込)		4	130	1	4	130	1	7	300	4				4-7	1050	3	4-7	170	3	2-4	110	1	2-7	240	6	4=>7	900	5	2-4-7	470	2	4=>7=>2	2310	7.0	2457163	2457163	2457163	7425163		
201054122402	ダ	右	1300	晴	不良	15:50	C3　ー8		2010-12-24	15	高知	1	(見込)		5	660	2	5	100	2	1	100	1				1-5	110	1	1-5	100	1	4-5	100	2	1-4	150	3	5=>1	340	2	1-4-5	110	1	5=>1=>4	850	2.0	154632	154632	1,5,4,6,3-2	154632		
201054122403	ダ	右	1300	晴	不良	16:20	C3　ー6		2010-12-24	15	高知	1	(見込)		5	140	1	5	100	1	2	3,030	6				2-5	2430	6	2-5	600	5	5-6	150	2	2-6	3,570	12	5=>2	3610	7	2-5-6	2350	6	5=>2=>6	10170	20.0	2,3,(1,6),4,7,5	2,(3,6,4),1,7,5	2,(4,5),(3,6),1,7	2,4,(6,5),1,(3,7)		
201054122404	ダ	右	1300	晴	不良	16:50	C2イ		2010-12-24	15	高知	1	(見込)		3	160	1	3	100	1	7	110	2	5.0	170	4.0	3-7	240	1	3-7	130	1	3-5	160	2	5-7	230	5	3=>7	290	1	3-5-7	310	1	3=>7=>5	680	1.0	2,3,8,1,6,(5,7),4	2,3,1,8,5,(6,7),4	2,3,(5,1),7,8,(4,6)	5,(2,3,7),1,4,6,8		
201054122405	ダ	右	1300	晴	不良	17:20	C3　ー10		2010-12-24	15	高知	1	(見込)		8	510	2	8	110	1	7	1,100	7	2.0	110	2.0	7-8	21480	20	7-8	9,580	26	2-8	130	1	2-7	3,640	18	8=>7	38060	35	2-7-8	21000	24	8=>7=>2	183580	145.0	2,4,8,3,7,(1,5),6	2,4,8,3,7,(1,5),6	2,8,4,7,3,(5,6),1	82764531		
201054122406	ダ	右	1300	晴	不良	17:50	北川村のゆず特別		2010-12-24	15	高知	1	(見込)		4	350	3	4	130	1	5	170	4	6.0	540	7.0	4-5	510	3	4-5	180	1	4-6	3,290	21	5-6	2,970	20	4=>5	780	3	4-5-6	8010	15	4=>5=>6	25190	58.0	24516738	2,4,5,1,6,7,(3,8)	24516837	42156837		
201054011501	ダ	右	1300	晴	良	15:35	Eハ		2010-1-15	16	高知	1	(馬齢)		1	100	1	1	100	1	3	200	4				1-3	460	3	1-3	160	3	1-2	130	2	2-3	280	5	1=>3	640	3	1-2-3	380	3	1=>3=>2	1960	7.0	41532	41235	(4,1),(2,3),5	12345		
201054011502	ダ	右	1300	晴	良	16:05	Eロ		2010-1-15	16	高知	1	(馬齢)		1	160	1	1	100	2	2	100	1				1-2	130	1	1-2	100	1	1-5	100	2	2-5	100	3	1=>2	140	1	1-2-5	100	1	1=>2=>5	170	1.0	12354	12354	1,2,(5,3,4)	12543		
201054011503	ダ	右	1300	晴	良	16:35	Bロ		2010-1-15	16	高知	1	(馬齢)		3	140	1	3	100	1	5	190	3				3-5	580	2	3-5	120	3	3-4	110	1	4-5	110	2	3=>5	840	3	3-4-5	120	1	3=>5=>4	810	3.0	3,5,(2,4),1	3,5,(2,4),1	3,(5,4),2,1	3,5,(2,4),1		
201054011504	ダ	右	1300	晴	良	17:05	3歳2		2010-1-15	16	高知	1	(馬齢)		3	690	3	3	100	2	1	100	1	5.0	120	3.0	1-3	160	1	1-3	100	1	3-5	130	3	1-5	120	2	3=>1	940	3	1-3-5	140	1	3=>1=>5	1920	5.0	35816427	3,5,1,8,(4,6),7,2	3,(1,5),8,6,4,7,2	(1,3),5,4,7,6,8,2		
201054011505	ダ	右	1300	晴	良	17:35	E2		2010-1-15	16	高知	1	(馬齢)		4	100	1	4	110	1	1	150	3	6.0	150	4.0	1-4	160	1	1-4	120	1	4-6	130	2	1-6	180	3	4=>1	180	1	1-4-6	170	1	4=>1=>6	390	1.0	21534687	12534687	1,2,5,4,3,6,8-7	4,1,5,6,2,8,3-7		
201054011506	ダ	右	1400	晴	良	18:05	茶霧湖特別 		2010-1-15	16	高知	1	(馬齢)		6	150	1	6	130	2	2	380	5	7.0	690	6.0	2-6	1700	5	2-6	470	5	6-7	1,170	11	2-7	7,890	20	6=>2	1720	5	2-6-7	13540	21	6=>2=>7	28490	64.0	87641523	8,7,(1,6),4,5,2,3	87614253	62784153		
201054011507	ダ	右	1300	晴	良	18:35	D4		2010-1-15	16	高知	1	(馬齢)		1	150	1	1	100	1	6	140	3	8.0	190	4.0	1-6	400	2	1-6	200	2	1-8	280	4	6-8	440	6	1=>6	490	3	1-6-8	600	3	1=>6=>8	1220	4.0	9,1,8,4,6,2,7,(5,3)	9,1,8,4,6,2,7,(5,3)	1,9,(8,6),2,4,7,3,5	1,8,6,2,9,4,3,7-5		
201054012901	ダ	右	1300	晴	不良	15:35	E2		2010-1-29	16	高知	5	(見込)		4	610	3	4	110	2	5	100	1				4-5	210	1	4-5	120	2	4-7	130	3	5-7	120	1	4=>5	870	3	4-5-7	180	1	4=>5=>7	1390	4.0	4,5,6,(2,7),1,3	4,5,(2,6),7,1,3	4576213	4527613		
201054012902	ダ	右	1300	晴	不良	16:05	かんば餅特別 		2010-1-29	16	高知	5	(見込)		6	150	1	6	110	2	2	100	1				2-6	110	1	2-6	120	1	6-7	1,130	12	2-7	960	10	6=>2	200	1	2-6-7	2290	5	6=>2=>7	4630	11.0	2,4,7,3,6,(1,5)	2,4,7,(3,6),1,5	2,6,(3,4,7),(5,1)	6273451		
201054012903	ダ	右	1300	晴	不良	16:35	Eハ		2010-1-29	16	高知	5	(見込)		6	110	1	6	100	2	8	100	1	5.0	100	3.0	6-8	160	1	6-8	100	1	5-6	130	2	5-8	130	3	6=>8	180	1	5-6-8	210	1	6=>8=>5	410	1.0	64518273	6,4,(1,2,5),8,3,7	6,(2,5),4,8,1,3,7	6,2,(5,8),(4,7),3,1		
201054012904	ダ	右	1300	晴	不良	17:05	Eロ		2010-1-29	16	高知	5	(見込)		6	140	1	6	100	1	8	150	4	5.0	190	5.0	6-8	390	2	6-8	270	3	5-6	520	6	5-8	840	9	6=>8	360	2	5-6-8	2430	6	6=>8=>5	3760	13.0	7,2,(1,5),6,(3,8),4	7,(2,5),1,6,8,3,4	75216834	65781243		
201054012905	ダ	右	1300	晴	不良	17:35	3歳2		2010-1-29	16	高知	5	(見込)		4	140	1	4	100	1	6	100	2	7.0	110	3.0	4-6	150	1	4-6	130	1	4-7	240	5	6-7	180	2	4=>6	210	1	4-6-7	250	1	4=>6=>7	450	1.0	86347521	86473521	6,8,4,7,2,(5,3)-1	6,4,7,8,2,3,5-1		
201054012906	ダ	右	1400	晴	不良	18:05	D4		2010-1-29	16	高知	5	(見込)		9	470	2	9	100	1	6	260	5	4.0	100	2.0	6-9	1420	5	6-9	570	7	4-9	140	1	4-6	250	3	9=>6	4200	11	4-6-9	580	2	9=>6=>4	7110	23.0	394276185	394267185	3,9,4,(2,6),7,1,8,5	946238175		
201054012907	ダ	右	1300	晴	不良	18:35	D3		2010-1-29	16	高知	5	(見込)		3	320	3	3	100	1	7	100	3	4.0	100	2.0	3-7	520	3	3-7	130	1	3-4	130	2	4-7	150	3	3=>7	870	4	3-4-7	230	1	3=>7=>4	1870	5.0	7,3,(1,6,9,10),4,5,2,8	73110649528	7,3,(1,10,4),6,5,9,2,8	73141056928		
201054012908	ダ	右	1300	晴	不良	19:10	Bロ		2010-1-29	16	高知	5	(見込)		1	270	2	1	150	2	8	150	3	7.0	630	7.0	1-8	480	3	1-8	190	2	1-7	2,260	15	7-8	3,710	18	1=>8	660	3	1-7-8	11130	17	1=>8=>7	23120	52.0	28451736	28154736	28154736	8,2,1,(4,5),3,7,6		
201054012909	ダ	右	1400	晴	不良	19:45	スペシャリスト特別		2010-1-29	16	高知	5	(見込)		5	230	1	5	110	1	6	120	2	3.0	170	4.0	5-6	550	2	5-6	330	4	3-5	240	2	3-6	530	8	5=>6	670	2	3-5-6	750	3	5=>6=>3	2110	5.0	2,3,(8,9),5,1,6,7,4	238591674	235896714	5,2,(3,6),7,1,4,8,9		
201054012910	ダ	右	1600	晴	不良	20:20	土佐海援隊杯特別 		2010-1-29	16	高知	5	(見込)		6	400	2	6	100	2	7	100	1	5.0	120	3.0	6-7	200	1	6-7	120	1	5-6	150	3	5-7	130	2	6=>7	600	3	5-6-7	190	1	6=>7=>5	1320	3.0	23687514	2,3,6,(8,7),5,1,4	3,(2,6),7,8,5,1,4	67352841		
201054021401	ダ	右	1300	曇	重	15:35	祝!和也・泉結婚特別		2010-2-14	17	高知	4	(見込)		5	150	1	5	100	1	3	140	2				3-5	130	1	3-5	100	1	4-5	130	3	3-4	130	2	5=>3	150	1	3-4-5	130	1	5=>3=>4	370	1.0	35412	35412	35412	35421		
201054021402	ダ	右	1400	曇	重	16:05	工石山特別		2010-2-14	17	高知	4	(見込)		5	200	1	5	100	1	6	150	4	2.0	100	2.0	5-6	520	3	5-6	220	3	2-5	130	1	2-6	400	6	5=>6	780	4	2-5-6	290	1	5=>6=>2	1320	3.0	179546382	179546382	1,7,9,5,(2,6),(4,8),3	526891734		
201054021403	ダ	右	1300	曇	重	16:35	Eハ		2010-2-14	17	高知	4	(見込)		1	100	1	1	100	1	4	130	2				1-4	300	2	1-4	100	2	1-2	100	1	2-4	160	3	1=>4	370	2	1-2-4	130	1	1=>4=>2	420	2.0	54132	54132	(5,4),1,3,2	(4,1),5,2,3		
201054021404	ダ	右	1300	曇	重	17:05	D7		2010-2-14	17	高知	4	(見込)		6	460	3	6	130	2	1	100	1				1-6	180	1	1-6	130	1	5-6	310	6	1-5	220	4	6=>1	990	4	1-5-6	320	2	6=>1=>5	1500	6.0	526143	526143	(2,5),6,1,4,3	6,(5,1),2,4,3		
201054021405	ダ	右	1300	曇	重	17:35	3歳1		2010-2-14	17	高知	4	(見込)		6	890	3	6	110	1	5	160	3	8.0	400	4.0	5-6	1330	4	5-6	170	3	6-8	760	6	5-8	660	5	6=>5	3170	6	5-6-8	5030	8	6=>5=>8	25340	34.0	2,5,6,(1,8),7,3,4	25618743	52681473	5,6,8,(1,2),(7,4),3		
201054021406	ダ	右	1400	曇	重	18:05	D6		2010-2-14	17	高知	4	(見込)		3	140	1	3	110	1	6	120	2				3-6	140	1	3-6	130	2	2-3	140	3	2-6	190	4	3=>6	200	1	2-3-6	170	1	3=>6=>2	270	1.0	6,2,3,1,(4,7),5	6,3,2,1,(4,7),5	3621475	3624175		
201054021407	ダ	右	1300	曇	重	18:35	C4		2010-2-14	17	高知	4	(見込)		2	390	2	2	110	3	6	100	1	5.0	110	2.0	2-6	410	2	2-6	250	3	2-5	320	5	5-6	200	2	2=>6	1390	6	2-5-6	500	3	2=>6=>5	4030	17.0	2,6,1,(3,5),8,4,7	26351847	2,6,(3,5),1,8,7,4	2,6,5,3,7,(4,1),8		
201054021408	ダ	右	1400	曇	重	19:10	C3		2010-2-14	17	高知	4	(見込)		6	120	1	6	100	1	8	140	3	7.0	100	2.0	6-8	320	2	6-8	160	2	6-7	120	1	7-8	380	5	6=>8	430	2	6-7-8	390	2	6=>8=>7	1010	3.0	5,(7,8),3,6,4,1,2	5,7,(3,8),6,1,4,2	57638142	65738142		
201054100201	ダ	右	1300	曇	重	15:00	摂郎マミ結婚記念特別		2010-10-2	11	高知	1	(見込)		3	1520	3	3	130	2	5	120	1				3-5	110	1	3-5	100	1	3-4	270	6	4-5	160	2	3=>5	890	4	3-4-5	360	2	3=>5=>4	2420	8.0	34521	34521	34521	35421		
201054101603	ダ	右	1300	晴	良	16:40	C3　ー11		2010-10-16	11	高知	5	(見込)		4	160	1	4	100	1	2	100	2				2-4	150	1	2-4	130	1	1-4	130	2	1-2	170	3	4=>2	270	1	1-2-4	320	2	4=>2=>1	750	2.0	7,4,(2,6),(3,5),1	7423615	7421365	4721365		
201054101604	ダ	右	1300	晴	良	17:10	C3　ー10		2010-10-16	11	高知	5	(見込)		4	310	2	4	130	2	8	220	4	6.0	160	3.0	4-8	1870	9	4-8	580	7	4-6	450	4	6-8	500	6	4=>8	3220	11	4-6-8	2560	9	4=>8=>6	15280	51.0	3,8,2,7,4,(1,5),6	38247516	(3,8),2,4,5,7,(1,6)	84253671		
201054101605	ダ	右	1300	晴	良	17:40	C3　ー9		2010-10-16	11	高知	5	(見込)		8	380	2	8	220	2	1	270	3	6.0	1,230	8.0	1-8	1820	5	1-8	760	7	6-8	2,560	18	1-6	3,800	22	8=>1	5430	13	1-6-8	10890	22	8=>1=>6	62670	88.0	8,(3,4,5),7,(2,6),1	8,(3,4),5,7,2,(1,6)	8,4,(3,5),7,6,1,2	8,(3,4),5,7,1,6,2		
201054101606	ダ	右	1300	晴	良	18:15	C3　ー8		2010-10-16	11	高知	5	(見込)		4	150	1	4	100	1	8	120	3	3.0	170	4.0	4-8	140	1	4-8	130	1	3-4	160	2	3-8	250	5	4=>8	240	1	3-4-8	280	2	4=>8=>3	510	2.0	6,8,(3,7,5),4,1,2	6,8,(3,5),4,1,7,2	(6,8),4,5,3,1,2,7	(8,4),5,3,6,2,1,7		
201054101607	ダ	右	1300	晴	良	18:45	C3　ー7		2010-10-16	11	高知	5	(見込)		5	190	1	5	100	2	7	100	1	1.0	140	4.0	5-7	170	1	5-7	110	1	1-5	360	5	1-7	210	4	5=>7	490	2	1-5-7	450	2	5=>7=>1	1590	5.0	15674238	15467238	(1,5),(4,7),6,3,2,8	51746328		
201054101608	ダ	右	1300	晴	良	19:15	C3　ー6		2010-10-16	11	高知	5	(見込)		5	160	1	5	100	1	1	140	3	2.0	100	2.0	1-5	390	2	1-5	160	2	2-5	120	1	1-2	190	3	5=>1	500	2	1-2-5	210	1	5=>1=>2	590	2.0	56324817	5,6,(2,3),8,1,4,7	5,6,(2,3),(1,8),4,7	56213847		
201054102901	ダ	右	1300	曇	重	15:20	C3　ー12		2010-10-29	12	高知	3	(見込)		9	250	1	9	180	4	2	330	6	7.0	140	2.0	2-9	450	2	2-9	160	2	7-9	130	1	2-7	160	3	9=>2	390	2	2-7-9	170	1	9=>2=>7	1100	3.0	9,(2,7),3,6,1,8,4,5	9,7,2,(1,3),6,8,5,4	9,7,(2,3,5),6,1,8,4	9,(2,7),3,6,5,1,4,8		
201054102902	ダ	右	1300	曇	重	15:50	C3　ー11		2010-10-29	12	高知	3	(見込)		3	1550	3	3	270	4	7	100	1	4.0	370	5.0	3-7	560	2	3-7	230	2	3-4	1,680	12	4-7	920	8	3=>7	3490	7	3-4-7	11480	15	3=>7=>4	110100	114.0	3,6,7,5,8,4,9,(1,2)	367584192	3,(6,7),5,4,(1,8),9,2	3,7,5,(6,1),4,9,8,2		
201054102903	ダ	右	1300	曇	重	16:20	C3　ー10		2010-10-29	12	高知	3	(見込)		3	410	3	3	220	4	5	130	2	4.0	740	7.0	3-5	370	3	3-5	250	3	3-4	940	9	4-5	1,220	12	3=>5	1340	6	3-4-5	1290	4	3=>5=>4	8600	25.0	36421578	3,4,6,(1,2),5,7,8	34652178	3,2,(4,5),6,8,1,7		
201054102904	ダ	右	1300	曇	重	16:50	C3　ー9		2010-10-29	12	高知	3	(見込)		3	130	1	3	100	2	4	620	7	5.0	100	1.0	3-4	6870	11	3-4	440	9	3-5	100	1	4-5	540	11	3=>4	7570	11	3-4-5	760	4	3=>4=>5	8350	17.0	13574826	1,3,(4,5),7,8,2,6	1,3,(4,5),7,8,2-6	4,3,8,(1,5),7,2,6		
